Time_ns,Reset,CE,Enable,Input,Gain_Val,Output
25000,1,1,0,  1234,  8192,  1234
35000,1,1,1,  1000,  4096,  1234
45000,1,1,1,  5000,  2048,  1000
55000,1,1,1, 10000,  8192,  2500
65000,1,1,1, 20000,  8192, 20000
75000,1,1,1,-20000,  8192, 32767
85000,1,1,1,-12345,     0,-32768
95000,1,0,1,   100,  4096,     0
105000,1,1,1,   100,  4096,     0
